word,pinyin,start,file
当务之急,"['dang', 'wu', 'zhi', 'ji']",0:07:09.110000,/home/indigo6a/Documents/projects/orc/srt/第一部/[神探狄仁杰1无台标版].Shen.Tan.Di.Ren.Jie.Complete.11.1080P.PPTV原画.x264.srt
嫉贤妒能,"['ji', 'xian', 'du', 'neng']",0:42:02.080000,/home/indigo6a/Documents/projects/orc/srt/第一部/[神探狄仁杰1无台标版].Shen.Tan.Di.Ren.Jie.Complete.02.1080P.PPTV原画.x264.srt
能言善辩,"['neng', 'yan', 'shan', 'bian']",0:30:41.900000,/home/indigo6a/Documents/projects/orc/srt/第一部/[神探狄仁杰1无台标版].Shen.Tan.Di.Ren.Jie.Complete.17.1080P.PPTV原画.x264.srt
便宜行事,"['bian', 'yi', 'xing', 'shi']",0:43:09.400000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部26.srt
始末缘由,"['shi', 'mo', 'yuan', 'you']",0:16:48.560000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部06.srt
忧国忧民,"['you', 'guo', 'you', 'min']",0:19:00.760000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部20.srt
民脂民膏,"['min', 'zhi', 'min', 'gao']",0:23:22.766000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部32.srt
高头大马,"['gao', 'tou', 'da', 'ma']",0:09:45.600000,/home/indigo6a/Documents/projects/orc/srt/第一部/[神探狄仁杰1无台标版].Shen.Tan.Di.Ren.Jie.Complete.30.1080P.PPTV原画.x264.srt
马首是瞻,"['ma', 'shou', 'shi', 'zhan']",0:31:42.520000,/home/indigo6a/Documents/projects/orc/srt/第三部/神探狄仁杰3-39.srt
斩草除根,"['zhan', 'cao', 'chu', 'gen']",0:05:27.633000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部32.srt
亘古未有,"['gen', 'gu', 'wei', 'you']",0:38:42.890000,/home/indigo6a/Documents/projects/orc/srt/第一部/[神探狄仁杰1无台标版].Shen.Tan.Di.Ren.Jie.Complete.28.1080P.PPTV原画.x264.srt
有意无意,"['you', 'yi', 'wu', 'yi']",0:41:12.120000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部18.srt
义正辞严,"['yi', 'zheng', 'ci', 'yan']",0:15:05.650000,/home/indigo6a/Documents/projects/orc/srt/第一部/[神探狄仁杰1无台标版].Shen.Tan.Di.Ren.Jie.Complete.06.1080P.PPTV原画.x264.srt
颜面扫地,"['yan', 'mian', 'sao', 'di']",0:26:17,/home/indigo6a/Documents/projects/orc/srt/第一部/[神探狄仁杰1无台标版].Shen.Tan.Di.Ren.Jie.Complete.14.1080P.PPTV原画.x264.srt
低声下气,"['di', 'sheng', 'xia', 'qi']",0:17:11.560000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部24.srt
弃暗投明,"['qi', 'an', 'tou', 'ming']",0:06:44.200000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部26.srt
明珠暗投,"['ming', 'zhu', 'an', 'tou']",0:24:14.200000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部28.srt
偷梁换柱,"['tou', 'liang', 'huan', 'zhu']",0:29:38.266000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部28.srt
铸成大错,"['zhu', 'cheng', 'da', 'cuo']",0:39:47.900000,/home/indigo6a/Documents/projects/orc/srt/第一部/[神探狄仁杰1无台标版].Shen.Tan.Di.Ren.Jie.Complete.23.1080P.PPTV原画.x264.srt
挫骨扬灰,"['cuo', 'gu', 'yang', 'hui']",0:14:36,/home/indigo6a/Documents/projects/orc/srt/第三部/神探狄仁杰3-48.srt
讳莫如深,"['hui', 'mo', 'ru', 'shen']",0:09:17.300000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部38.srt
深情厚谊,"['shen', 'qing', 'hou', 'yi']",0:37:49.200000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部26.srt
一了百了,"['yi', 'liao', 'bai', 'liao']",0:40:23.866000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部38.srt
了若指掌,"['liao', 'ruo', 'zhi', 'zhang']",0:13:11.900000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部35.srt
仗义执言,"['zhang', 'yi', 'zhi', 'yan']",0:04:00.200000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部31.srt
奄奄一息,"['yan', 'yan', 'yi', 'xi']",0:19:31.640000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部21.srt
